AppID,Name,Discount,Price,Rating,Release,Ends,Started
1137300,Sherlock Holmes Chapter One,0.8,33.8,76.95,2021-11,5,-2
898720,Kubifaktorium,0.5,18.99,76.9,2019-07,5,-2
888530,Yaga,0.0,18.49,76.82,2021-01,5,-2
953880,First Class Trouble,0.0,11.74,76.78,2021-11,5,-2
824190,Achievement Clicker 2019,0.0,1.74,76.78,2018-04,5,-2
326840,Heart&Slash,0.0,5.5,76.68,2016-08,5,-7
612390,Dandara: Trials of Fear Edition,0.0,9.39,76.65,2018-02,12,-2
1333470,Alex Kidd in Miracle World DX,0.0,16.24,76.63,2021-06,5,-2
267920,Gun Metal,0.0,2.62,76.6,2003-09,5,-2
769970,Bad Dream: Fever,0.0,28.78,76.55,2018-11,-2,0
1701520,Afterimage,0.0,36.99,76.53,2023-04,5,-2
